Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Mo Se 
     -3.04000      4.27511      1.26572      3.00939
     -3.03000      6.13592      1.90501      4.23092
     -3.02000      6.65922      2.08663      4.57259
     -3.01000      6.36516      1.88156      4.48360
     -3.00000      5.46744      1.46685      4.00058
     -2.99000      4.13258      1.06460      3.06798
     -2.98000      4.45276      1.24226      3.21050
     -2.97000      5.72083      1.71838      4.00244
     -2.96000      5.71408      1.75552      3.95855
     -2.95000      5.25052      1.66571      3.58482
     -2.94000      3.71936      1.21458      2.50478
     -2.93000      2.11866      0.74475      1.37392
     -2.92000      3.23900      1.27325      1.96575
     -2.91000      4.66434      1.83799      2.82635
     -2.90000      3.63920      1.42783      2.21137
     -2.89000      2.73271      1.07665      1.65606
     -2.88000      2.65560      1.04474      1.61087
     -2.87000      2.34677      0.92938      1.41739
     -2.86000      2.10439      0.82261      1.28177
     -2.85000      2.92412      1.11948      1.80464
     -2.84000      3.64188      1.43783      2.20405
     -2.83000      3.04777      1.31058      1.73720
     -2.82000      3.09693      1.43360      1.66333
     -2.81000      3.90524      1.77101      2.13424
     -2.80000      4.42841      1.91658      2.51183
     -2.79000      3.84107      1.62409      2.21698
     -2.78000      2.36581      1.00811      1.35769
     -2.77000      2.18745      0.93147      1.25598
     -2.76000      3.56597      1.46010      2.10587
     -2.75000      4.16861      1.64803      2.52058
     -2.74000      2.96174      1.12790      1.83383
     -2.73000      1.85906      0.70991      1.14915
     -2.72000      1.88424      0.76454      1.11969
     -2.71000      2.08099      0.90598      1.17500
     -2.70000      2.00043      0.88791      1.11252
     -2.69000      2.41860      1.02364      1.39496
     -2.68000      3.21534      1.41078      1.80457
     -2.67000      3.02224      1.36072      1.66151
     -2.66000      1.88940      0.81203      1.07737
     -2.65000      1.04459      0.39310      0.65149
     -2.64000      1.49778      0.51078      0.98701
     -2.63000      2.13103      0.74591      1.38512
     -2.62000      1.61475      0.62010      0.99465
     -2.61000      1.19322      0.56314      0.63009
     -2.60000      1.21571      0.62037      0.59534
     -2.59000      1.36846      0.65323      0.71524
     -2.58000      1.77500      0.79743      0.97757
     -2.57000      2.06879      0.90304      1.16575
     -2.56000      2.14104      0.89244      1.24860
     -2.55000      2.00508      0.82943      1.17565
     -2.54000      1.87555      0.73158      1.14398
     -2.53000      2.25499      0.72875      1.52624
     -2.52000      2.59069      0.77403      1.81666
     -2.51000      2.06947      0.60261      1.46686
     -2.50000      1.93880      0.59505      1.34374
     -2.49000      2.15240      0.72315      1.42925
     -2.48000      2.10121      0.83843      1.26278
     -2.47000      2.29602      1.01004      1.28598
     -2.46000      1.73207      0.73536      0.99671
     -2.45000      1.16610      0.48843      0.67767
     -2.44000      1.41130      0.61600      0.79531
     -2.43000      1.60607      0.67767      0.92840
     -2.42000      1.99707      0.77160      1.22548
     -2.41000      2.29821      0.88918      1.40903
     -2.40000      1.94069      0.82127      1.11942
     -2.39000      1.26412      0.57894      0.68518
     -2.38000      0.53617      0.25255      0.28362
     -2.37000      0.54562      0.24226      0.30336
     -2.36000      1.36559      0.56463      0.80097
     -2.35000      1.68203      0.66010      1.02192
     -2.34000      1.33961      0.52716      0.81245
     -2.33000      1.32693      0.53639      0.79054
     -2.32000      1.40385      0.59519      0.80867
     -2.31000      1.48212      0.67666      0.80546
     -2.30000      1.44940      0.62448      0.82492
     -2.29000      1.47512      0.48594      0.98918
     -2.28000      1.95645      0.61199      1.34446
     -2.27000      1.99886      0.71913      1.27973
     -2.26000      1.37310      0.53864      0.83446
     -2.25000      1.17665      0.46339      0.71326
     -2.24000      1.34101      0.48835      0.85266
     -2.23000      1.42848      0.51596      0.91252
     -2.22000      1.65162      0.69351      0.95812
     -2.21000      1.78172      0.81633      0.96539
     -2.20000      1.52058      0.63870      0.88188
     -2.19000      1.35031      0.55195      0.79837
     -2.18000      1.23323      0.56605      0.66718
     -2.17000      1.28154      0.59594      0.68560
     -2.16000      1.87259      0.81738      1.05521
     -2.15000      2.27362      0.95600      1.31762
     -2.14000      1.88372      0.82267      1.06105
     -2.13000      1.58044      0.75084      0.82960
     -2.12000      1.75595      0.79712      0.95883
     -2.11000      1.93543      0.80970      1.12573
     -2.10000      2.02863      0.86050      1.16813
     -2.09000      1.91331      0.82302      1.09029
     -2.08000      1.42383      0.56112      0.86270
     -2.07000      1.58654      0.61271      0.97383
     -2.06000      2.66861      1.02854      1.64007
     -2.05000      4.43859      1.48865      2.94994
     -2.04000      5.40443      1.66720      3.73723
     -2.03000      4.16844      1.42197      2.74647
     -2.02000      3.09646      1.20645      1.89001
     -2.01000      3.54133      1.28880      2.25254
     -2.00000      3.70280      1.30871      2.39410
     -1.99000      2.47530      0.89792      1.57738
     -1.98000      1.76711      0.64768      1.11944
     -1.97000      2.07163      0.89113      1.18050
     -1.96000      2.20773      1.03655      1.17118
     -1.95000      1.98882      0.83277      1.15605
     -1.94000      2.65895      0.85875      1.80020
     -1.93000      3.78419      1.12729      2.65690
     -1.92000      4.31608      1.23504      3.08104
     -1.91000      5.23363      1.52806      3.70557
     -1.90000      6.10401      1.80218      4.30183
     -1.89000      5.98881      1.58861      4.40020
     -1.88000      5.13959      1.16991      3.96968
     -1.87000      4.64147      1.10816      3.53331
     -1.86000      5.15628      1.57361      3.58267
     -1.85000      5.36062      1.85010      3.51052
     -1.84000      5.76024      1.85036      3.90988
     -1.83000      6.16244      1.80555      4.35690
     -1.82000      5.20316      1.58780      3.61536
     -1.81000      4.40000      1.48506      2.91494
     -1.80000      4.66441      1.51392      3.15049
     -1.79000      5.19466      1.61681      3.57784
     -1.78000      4.71953      1.49109      3.22844
     -1.77000      3.53821      1.14958      2.38863
     -1.76000      2.54779      0.77668      1.77112
     -1.75000      2.64505      0.65913      1.98592
     -1.74000      3.67115      0.95211      2.71904
     -1.73000      4.28533      1.25686      3.02847
     -1.72000      3.84322      1.26140      2.58182
     -1.71000      2.98903      1.04136      1.94767
     -1.70000      2.72056      0.97105      1.74951
     -1.69000      3.54787      1.37230      2.17557
     -1.68000      3.97224      1.52058      2.45166
     -1.67000      3.56265      1.18199      2.38066
     -1.66000      3.58821      1.14228      2.44593
     -1.65000      3.81267      1.39441      2.41825
     -1.64000      4.02053      1.51900      2.50153
     -1.63000      4.23092      1.34044      2.89048
     -1.62000      5.13267      1.47417      3.65850
     -1.61000      5.93377      1.86291      4.07086
     -1.60000      6.33881      2.07084      4.26797
     -1.59000      6.28324      1.93612      4.34712
     -1.58000      5.59409      1.67810      3.91599
     -1.57000      3.65299      1.12743      2.52556
     -1.56000      1.69306      0.49540      1.19766
     -1.55000      1.39038      0.40728      0.98310
     -1.54000      1.57039      0.50624      1.06416
     -1.53000      1.91552      0.51482      1.40071
     -1.52000      2.28046      0.54293      1.73753
     -1.51000      1.97360      0.55825      1.41535
     -1.50000      2.06579      0.71481      1.35098
     -1.49000      2.73985      0.95262      1.78722
     -1.48000      3.46384      1.26989      2.19395
     -1.47000      3.26213      1.08304      2.17908
     -1.46000      2.20832      0.49837      1.70994
     -1.45000      1.65025      0.28658      1.36367
     -1.44000      1.94730      0.44174      1.50556
     -1.43000      2.59179      0.59162      2.00017
     -1.42000      2.67748      0.61340      2.06408
     -1.41000      2.99002      0.75714      2.23289
     -1.40000      3.73536      0.96815      2.76722
     -1.39000      3.69457      1.10696      2.58761
     -1.38000      2.94605      1.01400      1.93205
     -1.37000      1.90693      0.67198      1.23495
     -1.36000      1.39607      0.46549      0.93059
     -1.35000      1.66471      0.53098      1.13373
     -1.34000      2.20295      0.61605      1.58690
     -1.33000      2.77120      0.71026      2.06094
     -1.32000      2.82084      0.86919      1.95165
     -1.31000      2.19495      0.81401      1.38095
     -1.30000      1.64737      0.49195      1.15542
     -1.29000      1.71193      0.32981      1.38213
     -1.28000      1.96384      0.34686      1.61698
     -1.27000      2.08108      0.37671      1.70437
     -1.26000      1.93403      0.47792      1.45612
     -1.25000      2.33169      0.71794      1.61375
     -1.24000      2.98838      0.85603      2.13235
     -1.23000      2.82243      0.73838      2.08405
     -1.22000      2.42161      0.54270      1.87891
     -1.21000      2.55786      0.50460      2.05326
     -1.20000      2.53962      0.45118      2.08844
     -1.19000      1.89587      0.40030      1.49557
     -1.18000      1.31438      0.39038      0.92400
     -1.17000      1.64447      0.50790      1.13657
     -1.16000      3.04413      0.90824      2.13589
     -1.15000      3.18379      0.89769      2.28610
     -1.14000      1.89957      0.46333      1.43624
     -1.13000      1.21502      0.25335      0.96166
     -1.12000      1.29939      0.19471      1.10469
     -1.11000      2.02159      0.24542      1.77617
     -1.10000      2.58281      0.38152      2.20129
     -1.09000      2.05591      0.40282      1.65309
     -1.08000      1.48461      0.40433      1.08028
     -1.07000      1.74535      0.45636      1.28899
     -1.06000      2.11112      0.47871      1.63241
     -1.05000      2.46275      0.47686      1.98589
     -1.04000      2.69602      0.47342      2.22260
     -1.03000      2.36418      0.38160      1.98258
     -1.02000      1.45114      0.21264      1.23850
     -1.01000      1.27869      0.23693      1.04176
     -1.00000      3.15134      0.67458      2.47676
     -0.99000      4.58978      0.98419      3.60559
     -0.98000      3.71274      0.73180      2.98094
     -0.97000      2.77784      0.46972      2.30812
     -0.96000      2.19869      0.35967      1.83902
     -0.95000      2.28029      0.48206      1.79823
     -0.94000      2.75918      0.75845      2.00073
     -0.93000      2.41361      0.73548      1.67813
     -0.92000      2.71978      0.70303      2.01675
     -0.91000      4.06124      1.07634      2.98490
     -0.90000      3.88988      1.21864      2.67124
     -0.89000      2.46283      0.91111      1.55172
     -0.88000      1.94356      0.67389      1.26967
     -0.87000      2.42268      0.83285      1.58982
     -0.86000      2.81244      1.22870      1.58373
     -0.85000      2.64368      1.35611      1.28757
     -0.84000      2.36689      1.29508      1.07180
     -0.83000      2.28670      1.21468      1.07202
     -0.82000      2.36809      1.29447      1.07362
