Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Mo Se 
     -2.76112      3.37981      0.00000      0.00000
     -2.75112      3.58277      0.00000      0.00000
     -2.74112      2.73034      0.00000      0.00000
     -2.73112      2.54402      0.00000      0.00000
     -2.72112      3.45532      0.00000      0.00000
     -2.71112      3.63223      0.00000      0.00000
     -2.70112      3.04576      0.00000      0.00000
     -2.69112      3.38260      0.00000      0.00000
     -2.68112      3.42721      0.00000      0.00000
     -2.67112      2.97816      0.00000      0.00000
     -2.66112      3.06588      0.00000      0.00000
     -2.65112      3.59336      0.00000      0.00000
     -2.64112      4.19146      0.00000      0.00000
     -2.63112      4.00410      0.00000      0.00000
     -2.62112      3.03368      0.00000      0.00000
     -2.61112      2.37499      0.00000      0.00000
     -2.60112      2.62107      0.00000      0.00000
     -2.59112      2.86671      0.00000      0.00000
     -2.58112      2.28634      0.00000      0.00000
     -2.57112      1.83166      0.00000      0.00000
     -2.56112      2.21932      0.00000      0.00000
     -2.55112      3.43481      0.00000      0.00000
     -2.54112      4.00141      0.00000      0.00000
     -2.53112      3.24014      0.00000      0.00000
     -2.52112      2.46299      0.00000      0.00000
     -2.51112      2.18499      0.00000      0.00000
     -2.50112      2.82580      0.00000      0.00000
     -2.49112      3.94730      0.00000      0.00000
     -2.48112      5.07931      0.00000      0.00000
     -2.47112      5.45218      0.00000      0.00000
     -2.46112      5.40927      0.00000      0.00000
     -2.45112      5.86532      0.00000      0.00000
     -2.44112      5.53437      0.00000      0.00000
     -2.43112      5.04696      0.00000      0.00000
     -2.42112      5.13717      0.00000      0.00000
     -2.41112      4.56003      0.00000      0.00000
     -2.40112      3.90542      0.00000      0.00000
     -2.39112      3.40549      0.00000      0.00000
     -2.38112      3.10947      0.00000      0.00000
     -2.37112      4.33716      0.00000      0.00000
     -2.36112      8.04462      0.00000      0.00000
     -2.35112     11.86596      0.00000      0.00000
     -2.34112     12.13570      0.00000      0.00000
     -2.33112     10.81832      0.00000      0.00000
     -2.32112     10.93752      0.00000      0.00000
     -2.31112     10.37155      0.00000      0.00000
     -2.30112      8.69791      0.00000      0.00000
     -2.29112      8.00669      0.00000      0.00000
     -2.28112      7.12604      0.00000      0.00000
     -2.27112      6.78885      0.00000      0.00000
     -2.26112      8.30614      0.00000      0.00000
     -2.25112      9.21043      0.00000      0.00000
     -2.24112      9.04952      0.00000      0.00000
     -2.23112      9.03479      0.00000      0.00000
     -2.22112      8.63241      0.00000      0.00000
     -2.21112      8.52566      0.00000      0.00000
     -2.20112      8.35196      0.00000      0.00000
     -2.19112      7.04978      0.00000      0.00000
     -2.18112      6.05743      0.00000      0.00000
     -2.17112      5.65721      0.00000      0.00000
     -2.16112      6.03889      0.00000      0.00000
     -2.15112      7.49634      0.00000      0.00000
     -2.14112      7.71352      0.00000      0.00000
     -2.13112      6.22462      0.00000      0.00000
     -2.12112      5.43844      0.00000      0.00000
     -2.11112      5.14459      0.00000      0.00000
     -2.10112      5.32318      0.00000      0.00000
     -2.09112      6.64816      0.00000      0.00000
     -2.08112      7.82260      0.00000      0.00000
     -2.07112      7.74276      0.00000      0.00000
     -2.06112      7.06393      0.00000      0.00000
     -2.05112      7.10359      0.00000      0.00000
     -2.04112      7.15492      0.00000      0.00000
     -2.03112      6.13015      0.00000      0.00000
     -2.02112      5.20940      0.00000      0.00000
     -2.01112      5.50987      0.00000      0.00000
     -2.00112      6.55476      0.00000      0.00000
     -1.99112      7.28106      0.00000      0.00000
     -1.98112      6.71354      0.00000      0.00000
     -1.97112      5.78937      0.00000      0.00000
     -1.96112      5.98982      0.00000      0.00000
     -1.95112      7.18822      0.00000      0.00000
     -1.94112      8.55130      0.00000      0.00000
     -1.93112     10.00250      0.00000      0.00000
     -1.92112      9.09294      0.00000      0.00000
     -1.91112      6.39069      0.00000      0.00000
     -1.90112      6.39839      0.00000      0.00000
     -1.89112      7.56030      0.00000      0.00000
     -1.88112      7.89727      0.00000      0.00000
     -1.87112      8.33143      0.00000      0.00000
     -1.86112      9.27563      0.00000      0.00000
     -1.85112      9.34847      0.00000      0.00000
     -1.84112      7.44486      0.00000      0.00000
     -1.83112      6.07176      0.00000      0.00000
     -1.82112      6.27900      0.00000      0.00000
     -1.81112      7.09966      0.00000      0.00000
     -1.80112      8.00033      0.00000      0.00000
     -1.79112      7.24007      0.00000      0.00000
     -1.78112      5.61841      0.00000      0.00000
     -1.77112      4.41089      0.00000      0.00000
     -1.76112      3.32552      0.00000      0.00000
     -1.75112      2.86143      0.00000      0.00000
     -1.74112      3.33923      0.00000      0.00000
     -1.73112      3.51061      0.00000      0.00000
     -1.72112      3.43089      0.00000      0.00000
     -1.71112      3.34541      0.00000      0.00000
     -1.70112      2.60485      0.00000      0.00000
     -1.69112      2.19731      0.00000      0.00000
     -1.68112      3.02885      0.00000      0.00000
     -1.67112      4.02216      0.00000      0.00000
     -1.66112      3.52448      0.00000      0.00000
     -1.65112      2.02142      0.00000      0.00000
     -1.64112      1.54190      0.00000      0.00000
     -1.63112      3.05864      0.00000      0.00000
     -1.62112      5.28893      0.00000      0.00000
